"ID";"location_title";"location_modern_title";"location_other_title";"location_uncertain";"location_lat";"location_long";"LegendID";"Country"
69;"Cesaragusta";"Zaragoza";;0;"41.64884331";"-0.88920320";5;"Spain"
70;"Tirazona";"Tarazona";"Tirasona";0;"41.90427900";"-1.72215100";5;"Spain"
71;"Calagorre";"Calahorra";;0;"42.30704666";"-1.96712517";5;"Spain"
72;"Lebea";"Herramélluri";;0;"42.50333924";"-3.01943126";5;"Spain"
73;"Tarracona";"Tarragona";;0;"41.11888284";"1.24449050";5;"Spain"
74;"Gerunda";"Gerona";;0;"41.97894467";"2.82058540";5;"Spain"
75;"Barcinona";"Barcelona";;0;"41.38526570";"2.17362252";5;"Spain"
76;"Rodas";"Rosas";;0;"42.26051656";"3.20809453";5;"Spain"
77;"Dertosa";"Tortosa";;0;"40.81259129";"0.52146725";5;"Spain"
78;"Sagunto";"Sagunto";;0;"39.67986330";"-0.27843850";5;"Spain"
79;"Cestavi";"Gist'in (doubts)";;0;"42.59115713";"0.32959130";5;"Spain"
80;"Volotania";"Boltaña";;0;"42.44472409";"0.06640920";5;"Spain"
81;"Labeclosa";"Puebla de Castro";;0;"42.14394601";"0.28724408";5;"Spain"
82;"Toleto";"Toledo";;0;"39.86385823";"-4.02363523";5;"Spain"
83;"Recopoli";"Zorita de los Canes";;0;"40.33190181";"-2.88920310";5;"Spain"
84;"Valentia";"Valencia";;0;"39.46990750";"-0.37628809";5;"Spain"
85;"Mentesa";"La Guardia";;0;"39.78679490";"-3.47382076";5;"Spain"
86;"Acci";"Guadix";;0;"37.30117206";"-3.14033047";5;"Spain"
87;"Castilona";"Linares";;0;"38.09690974";"-3.63698028";5;"Spain"
88;"Beatia";"Baeza";;0;"37.99670611";"-3.46764561";5;"Spain"
89;"Iliocrici";"Lorca";;0;"37.67359250";"-1.69683570";5;"Spain"
90;"Aorariola";"Orihuela";;0;"38.08552550";"-0.94805488";5;"Spain"
91;"Mave";"Santa María de Mave";;0;"42.72421360";"-4.27404171";5;"Spain"
92;"Saldania";"Saldaña";;0;"42.51799971";"-4.74197917";5;"Spain"
93;"Oliovasio";"Monte Cildá (doubts)";;1;"42.74477601";"-4.28849698";5;"Spain"
94;"Ispali";"Sevilla";;0;"37.39050639";"-5.98402741";5;"Spain"
95;"Italica";"Santiponce";;0;"37.43519377";"-6.04275127";5;"Spain"
96;"Karmona";"Carmona";;0;"37.47126906";"-5.64187632";5;"Spain"
97;"Roda";"Roda de Andalucia (doubts)";;0;"37.20140644";"-4.77885459";5;"Spain"
98;"Cordoba";"Cordoba";;0;"37.88681566";"-4.77938202";5;"Spain"
100;"Tucci";"Martos";;0;"37.71822639";"-3.97001355";5;"Spain"
