region1;region2;value;year
France;Spain;0.0045642;-27
France;Spain;0.0045642;-26
France;Spain;0.0045642;-25
France;Spain;0.0045642;-24
France;Spain;0.0045642;-23
France;Spain;0.0045642;-22
France;Spain;0.0045642;-21
France;Spain;0.0045642;-20
France;Spain;0.0045642;-19
France;Spain;0.0045642;-18
France;Spain;0.0045642;-17
France;Spain;0.0045642;-16
France;Spain;0.0045642;-15
France;Spain;0.0045642;-14
France;Spain;0.0045642;-13
France;Spain;0.0045642;-12
France;Spain;0.0045642;-11
France;Spain;0.0045642;-10
France;Spain;0.0045642;-9
France;Spain;0.0045642;-8
France;Spain;0.0045642;-7
France;Spain;0.0045642;-6
France;Spain;0.0045642;-5
France;Spain;0.0045642;-4
France;Spain;0.0045642;-3
France;Spain;0.0045642;-2
France;Spain;0.0045642;-1
Spain;"United Kingdom";0.002874;-1
Spain;"United Kingdom";0.002874;0
France;Spain;0.0045642;0
Spain;"United Kingdom";0.002874;1
France;Spain;0.0045642;1
Spain;"United Kingdom";0.002874;2
France;Spain;0.0045642;2
France;Spain;0.0045642;3
Spain;"United Kingdom";0.002874;3
Spain;"United Kingdom";0.002874;4
France;Spain;0.0045642;4
Spain;"United Kingdom";0.002874;5
France;Spain;0.0045642;5
Spain;"United Kingdom";0.002874;6
France;Spain;0.0045642;6
Spain;"United Kingdom";0.002874;7
France;Spain;0.0045642;7
Spain;"United Kingdom";0.002874;8
France;Spain;0.0045642;8
France;Spain;0.0045642;9
Spain;"United Kingdom";0.002874;9
Spain;"United Kingdom";0.002874;10
France;Spain;0.0045642;10
France;Spain;0.0045642;11
Spain;"United Kingdom";0.002874;11
France;Spain;0.0045642;12
Spain;"United Kingdom";0.002874;12
Spain;"United Kingdom";0.002874;13
France;Spain;0.0045642;13
France;Spain;0.0045642;14
Spain;"United Kingdom";0.002874;14
France;Spain;0.0045642;15
Spain;"United Kingdom";0.002874;15
Spain;"United Kingdom";0.002874;16
France;Spain;0.0045642;16
France;Spain;0.0045642;17
Spain;"United Kingdom";0.002874;17
Spain;"United Kingdom";0.002874;18
France;Spain;0.0045642;18
France;Spain;0.0045642;19
Spain;"United Kingdom";0.002874;19
Spain;"United Kingdom";0.002874;20
France;Spain;0.0045642;20
France;Spain;0.0045642;21
Spain;"United Kingdom";0.002874;21
Spain;"United Kingdom";0.002874;22
France;Spain;0.0045642;22
France;Spain;0.0045642;23
Spain;"United Kingdom";0.002874;23
Spain;"United Kingdom";0.002874;24
France;Spain;0.0045642;24
Spain;"United Kingdom";0.002874;25
France;Spain;0.0045642;25
Spain;"United Kingdom";0.002874;26
France;Spain;0.0045642;26
France;Spain;0.0045642;27
Spain;"United Kingdom";0.002874;27
France;Spain;0.0045642;28
Spain;"United Kingdom";0.002874;28
Spain;"United Kingdom";0.002874;29
France;Spain;0.0045642;29
France;Spain;0.0045642;30
Spain;"United Kingdom";0.002874;30
Spain;"United Kingdom";0.002874;31
France;Spain;0.0045642;31
France;Spain;0.0045642;32
Spain;"United Kingdom";0.002874;32
Spain;"United Kingdom";0.002874;33
France;Spain;0.0045642;33
Spain;"United Kingdom";0.002874;34
France;Spain;0.0045642;34
Spain;"United Kingdom";0.002874;35
France;Spain;0.0045642;35
France;Spain;0.0045642;36
Spain;"United Kingdom";0.002874;36
France;Spain;0.0045642;37
Spain;"United Kingdom";0.002874;37
Spain;"United Kingdom";0.002874;38
France;Spain;0.0045642;38
Spain;"United Kingdom";0.002874;39
France;Spain;0.0045642;39
France;Spain;0.0045642;40
Spain;"United Kingdom";0.002874;40
France;Spain;0.0045642;41
Spain;"United Kingdom";0.002874;41
France;Spain;0.0045642;42
Spain;"United Kingdom";0.002874;42
Spain;"United Kingdom";0.002874;43
France;Spain;0.0045642;43
Spain;"United Kingdom";0.002874;44
France;Spain;0.0045642;44
France;Spain;0.0045642;45
Spain;"United Kingdom";0.002874;45
Spain;"United Kingdom";0.002874;46
France;Spain;0.0045642;46
France;Spain;0.0045642;47
Spain;"United Kingdom";0.002874;47
Spain;"United Kingdom";0.002874;48
France;Spain;0.0045642;48
Spain;"United Kingdom";0.002874;49
France;Spain;0.0045642;49
Spain;"United Kingdom";0.002874;50
France;Spain;0.0045642;50
France;Spain;0.0045642;51
Spain;"United Kingdom";0.002874;51
France;Spain;0.0045642;52
Spain;"United Kingdom";0.002874;52
Spain;"United Kingdom";0.002874;53
France;Spain;0.0045642;53
Spain;"United Kingdom";0.002874;54
France;Spain;0.0045642;54
France;Spain;0.0045642;55
Spain;"United Kingdom";0.002874;55
Spain;"United Kingdom";0.002874;56
France;Spain;0.0045642;56
France;Spain;0.0045642;57
Spain;"United Kingdom";0.002874;57
Spain;"United Kingdom";0.002874;58
France;Spain;0.0045642;58
Spain;"United Kingdom";0.002874;59
France;Spain;0.0045642;59
France;Spain;0.0045642;60
Spain;"United Kingdom";0.002874;60
Spain;"United Kingdom";0.002874;61
France;Spain;0.0045642;61
Spain;"United Kingdom";0.002874;62
France;Spain;0.0045642;62
France;Spain;0.0045642;63
Spain;"United Kingdom";0.002874;63
Spain;"United Kingdom";0.002874;64
France;Spain;0.0045642;64
Spain;"United Kingdom";0.002874;65
France;Spain;0.0045642;65
Spain;"United Kingdom";0.002874;66
France;Spain;0.0045642;66
Spain;"United Kingdom";0.002874;67
France;Spain;0.0045642;67
Spain;"United Kingdom";0.002874;68
France;Spain;0.0045642;68
France;Spain;0.0045642;69
Spain;"United Kingdom";0.002874;69
Spain;"United Kingdom";0.002874;70
France;Spain;0.0045642;70
France;Spain;0.0045642;71
Spain;"United Kingdom";0.002874;71
France;Spain;0.0045642;72
Spain;"United Kingdom";0.002874;72
Spain;"United Kingdom";0.002874;73
France;Spain;0.0045642;73
France;Spain;0.0045642;74
Spain;"United Kingdom";0.002874;74
Spain;"United Kingdom";0.002874;75
France;Spain;0.0045642;75
France;Spain;0.0045642;76
Spain;"United Kingdom";0.002874;76
Spain;"United Kingdom";0.002874;77
France;Spain;0.0045642;77
France;Spain;0.0045642;78
Spain;"United Kingdom";0.002874;78
Spain;"United Kingdom";0.002874;79
France;Spain;0.0045642;79
Spain;"United Kingdom";0.002874;80
France;Spain;0.0045642;80
Spain;"United Kingdom";0.002874;81
France;Spain;0.0045642;81
France;Spain;0.0045642;82
Spain;"United Kingdom";0.002874;82
France;Spain;0.0045642;83
Spain;"United Kingdom";0.002874;83
Spain;"United Kingdom";0.002874;84
France;Spain;0.0045642;84
Spain;"United Kingdom";0.002874;85
France;Spain;0.0045642;85
France;Spain;0.0045642;86
Spain;"United Kingdom";0.002874;86
France;Spain;0.0045642;87
Spain;"United Kingdom";0.002874;87
Spain;"United Kingdom";0.002874;88
France;Spain;0.0045642;88
Spain;"United Kingdom";0.002874;89
France;Spain;0.0045642;89
