hoard;mint;num_coins;year
Italia;Anatolia;18;434
Italia;Anatolia;2;413
Italia;Anatolia;11;444
Italia;Italia;1;440
Italia;Italia;1;440
Italia;Anatolia;6;453
Italia;Anatolia;1;451
Anatolia;Anatolia;1;542
Anatolia;Anatolia;1;544
Anatolia;Anatolia;1;545
Anatolia;Anatolia;1;543
Anatolia;Anatolia;1;558
Anatolia;Anatolia;1;550
Anatolia;Anatolia;3;555
Anatolia;Anatolia;1;551
Anatolia;Anatolia;1;557
Anatolia;Anatolia;1;564
Anatolia;Anatolia;1;538
Anatolia;Anatolia;1;560
Anatolia;Anatolia;1;551
Anatolia;Anatolia;1;557
Anatolia;Anatolia;2;565
Anatolia;Anatolia;1;566
Anatolia;Anatolia;1;568
Anatolia;Anatolia;2;570
Anatolia;Anatolia;1;571
Anatolia;Anatolia;2;573
Anatolia;Anatolia;3;574
Anatolia;Anatolia;2;570
Anatolia;Anatolia;1;573
Anatolia;Anatolia;1;574
Anatolia;Anatolia;2;576
Anatolia;Anatolia;2;566
Anatolia;Anatolia;2;569
Anatolia;Anatolia;3;571
Anatolia;Anatolia;2;572
Anatolia;Anatolia;1;573
Anatolia;Anatolia;1;574
Anatolia;Anatolia;1;575
Anatolia;Anatolia;1;579
Anatolia;Anatolia;1;580
Anatolia;Anatolia;3;581
Anatolia;Anatolia;2;581
Anatolia;Anatolia;1;580
Anatolia;Anatolia;2;582
Anatolia;Anatolia;3;583
Anatolia;Anatolia;1;584
Anatolia;Anatolia;5;335
Anatolia;Anatolia;4;335
Anatolia;Anatolia;10;343
Anatolia;Anatolia;1;343
Anatolia;Anatolia;2;343
Anatolia;Anatolia;5;343
Anatolia;Anatolia;5;343
Anatolia;Anatolia;30;343
Anatolia;Anatolia;2;343
Anatolia;Italia;1;335
Anatolia;Greece;1;343
Anatolia;Anatolia;1;335
Anatolia;Anatolia;1;335
Anatolia;Anatolia;4;343
Anatolia;Anatolia;1;343
Anatolia;Anatolia;1;343
Anatolia;Anatolia;1;335
Anatolia;Anatolia;5;343
Anatolia;Anatolia;1;343
Anatolia;Anatolia;2;335
Anatolia;Anatolia;3;343
Anatolia;Anatolia;1;343
Anatolia;Anatolia;1;343
Anatolia;Egypt;1;335
Anatolia;Egypt;1;343
Anatolia;Egypt;1;343
Anatolia;Egypt;2;343
Anatolia;"Unknown mintner-0";1;335
Anatolia;"Unknown mintner-1";3;335
Anatolia;"Unknown mintner-2";21;343
Anatolia;"Unknown mintner-3";1;343
Anatolia;"Unknown mintner-4";1;343
Anatolia;"Unknown mintner-5";1;343
Anatolia;"Unknown mintner-6";9;343
Anatolia;"Unknown mintner-7";13;343
Anatolia;"Unknown mintner-8";14;343
Anatolia;"Unknown mintner-9";3;343
Italia;Greece;1;390
Italia;Italia;9;398
Italia;Italia;20;408
Italia;Anatolia;1;344
Italia;Italia;2;440
Italia;Italia;5;440
Italia;Anatolia;3;453
Italia;Anatolia;2;453
Italia;Anatolia;2;453
Italia;Anatolia;1;453
